state,city,population,violent_crime,property_crime,violent_crime_per_capita,property_crime_per_capita,violent_crime_rank,property_crime_rank,score,rank
Maryland,Ocean City,6905.0,91.0,720.0,0.013178855901520637,0.10427226647356988,2.0,1.0,1.5,1
Maryland,Elkton,15662.0,151.0,1039.0,0.009641169710126421,0.06633890946239306,4.0,2.0,3.0,2
Maryland,Cambridge,12264.0,119.0,659.0,0.009703196347031963,0.053734507501630786,3.0,4.0,3.5,3
Maryland,Baltimore,597239.0,11101.0,25748.0,0.018587198759625542,0.04311171909403103,1.0,6.0,3.5,4
Maryland,Cumberland,19321.0,151.0,869.0,0.0078153304694374,0.0449769680658351,6.0,5.0,5.5,5
Maryland,Salisbury,33132.0,294.0,1422.0,0.008873596522998914,0.04291923216226005,5.0,7.0,6.0,6
Maryland,Hyattsville,18331.0,85.0,1112.0,0.004636953794119251,0.060662266106595385,14.0,3.0,8.5,7
Maryland,Bladensburg,9476.0,59.0,308.0,0.006226255804136767,0.032503165892781766,9.0,11.0,10.0,8
Maryland,La Plata,9538.0,47.0,316.0,0.004927657789893059,0.03313063535332355,11.0,10.0,10.5,9
Maryland,Laurel,25814.0,123.0,887.0,0.004764856279538235,0.03436119934919036,12.0,9.0,10.5,10
Maryland,Annapolis,39277.0,252.0,924.0,0.006415968633042239,0.023525218321154874,8.0,17.0,12.5,11
Maryland,Aberdeen,16194.0,120.0,326.0,0.007410151908114116,0.020130912683710016,7.0,19.0,13.0,12
Maryland,Greenbelt,23417.0,110.0,726.0,0.004697442029294957,0.031003117393346713,13.0,13.0,13.0,13
Maryland,Hagerstown,40258.0,213.0,960.0,0.00529087386357991,0.023846192061205227,10.0,16.0,13.0,14
Maryland,Mount Rainier,8143.0,33.0,255.0,0.004052560481395063,0.031315240083507306,16.0,12.0,14.0,15
Maryland,Fruitland,5346.0,15.0,228.0,0.0028058361391694723,0.04264870931537598,23.0,8.0,15.5,16
Maryland,Westminster,18664.0,68.0,575.0,0.0036433776253750536,0.030807972567509643,19.0,14.0,16.5,17
Maryland,Takoma Park,17893.0,71.0,409.0,0.00396803219135975,0.02285810093332588,17.0,18.0,17.5,18
Maryland,Riverdale Park,7258.0,22.0,192.0,0.003031138054560485,0.026453568476164233,21.0,15.0,18.0,19
Maryland,Frederick,73030.0,296.0,1364.0,0.0040531288511570585,0.018677255922223742,15.0,23.0,19.0,20
Maryland,Cheverly,6482.0,24.0,124.0,0.0037025609379821045,0.019129898179574206,18.0,22.0,20.0,21
Maryland,Easton,16523.0,49.0,332.0,0.002965563154390849,0.020093203413423712,22.0,20.0,21.0,22
Maryland,Brunswick,6426.0,15.0,124.0,0.002334267040149393,0.019296607531901648,27.0,21.0,24.0,23
Maryland,Chestertown,5027.0,13.0,71.0,0.00258603540879252,0.014123731848020689,25.0,27.0,26.0,24
Maryland,District Heights,6015.0,20.0,55.0,0.0033250207813798837,0.00914380714879468,20.0,32.0,26.0,25
Maryland,Bel Air,10031.0,21.0,175.0,0.00209351011863224,0.017445917655268667,29.0,25.0,27.0,26
Maryland,New Carrollton,13036.0,33.0,165.0,0.0025314513654495245,0.012657256827247622,26.0,28.0,27.0,27
Maryland,Havre de Grace,13890.0,36.0,165.0,0.002591792656587473,0.011879049676025918,24.0,30.0,27.0,28
Maryland,Frostburg,8510.0,14.0,153.0,0.001645123384253819,0.017978848413631024,31.0,24.0,27.5,29
Maryland,Bowie,59093.0,59.0,896.0,0.0009984262095341242,0.01516254040241653,33.0,26.0,29.5,30
Maryland,Taneytown,6824.0,13.0,64.0,0.0019050410316529894,0.009378663540445486,30.0,31.0,30.5,31
Maryland,Thurmont,6824.0,15.0,42.0,0.002198124267291911,0.00615474794841735,28.0,34.0,31.0,32
Maryland,Mount Airy,9472.0,5.0,115.0,0.0005278716216216217,0.012141047297297296,36.0,29.0,32.5,33
Maryland,Glenarden,6234.0,4.0,54.0,0.0006416426050689766,0.008662175168431183,35.0,33.0,34.0,34
Maryland,Hampstead,6397.0,7.0,31.0,0.0010942629357511334,0.004846021572612162,32.0,36.0,34.0,35
Maryland,Ocean Pines,12264.0,8.0,72.0,0.0006523157208088715,0.005870841487279843,34.0,35.0,34.5,36
